Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Product rating count (product.metafields.reviews.rating_count),Closure type (product.metafields.shopify.closure-type),Color (product.metafields.shopify.color-pattern),Shoe features (product.metafields.shopify.shoe-features),Shoe size (product.metafields.shopify.shoe-size),Sneaker style (product.metafields.shopify.sneaker-style),Toe style (product.metafields.shopify.toe-style),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Rwanda,Price / Rwanda,Compare At Price / Rwanda,Status
lee-t-shirt,,,,,,,,,white,,,xl,,,,,"",0.0,shopify,5,deny,manual,23000,3400,true,true,"",https://cdn.shopify.com/s/files/1/0748/5076/2982/files/D1CE1846-CE43-4959-90AB-0CD149518CE6.jpg?v=1746553269,4,"",,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
lee-t-shirt,,,,,,,,,black,,,l,,,,,"",0.0,shopify,5,deny,manual,23000,3400,true,true,"",https://cdn.shopify.com/s/files/1/0748/5076/2982/files/6D38F67E-858D-426B-A144-5DBD32EB2714.jpg?v=1746553269,5,"",,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
lee-t-shirt,,,,,,,,,black,,,m,,,,,"",0.0,shopify,5,deny,manual,23000,3400,true,true,"",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
lee-t-shirt,,,,,,,,,black,,,xxl,,,,,"",0.0,shopify,5,deny,manual,23000,3400,true,true,"",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
lee-t-shirt,,,,,,,,,black,,,xl,,,,,"",0.0,shopify,5,deny,manual,23000,3400,true,true,"",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
lee-t-shirt,,,,,,,,,silver,,,l,,,,,"",0.0,shopify,5,deny,manual,23000,3400,true,true,"",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
lee-t-shirt,,,,,,,,,silver,,,m,,,,,"",0.0,shopify,5,deny,manual,23000,3400,true,true,"",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
lee-t-shirt,,,,,,,,,silver,,,xxl,,,,,"",0.0,shopify,5,deny,manual,23000,3400,true,true,"",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
lee-t-shirt,,,,,,,,,silver,,,xl,,,,,"",0.0,shopify,5,deny,manual,23000,3400,true,true,"",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
lee-t-shirt,,,,,,,,,brown,,,l,,,,,"",0.0,shopify,5,deny,manual,23000,3400,true,true,"",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
lee-t-shirt,,,,,,,,,brown,,,m,,,,,"",0.0,shopify,5,deny,manual,23000,3400,true,true,"",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
lee-t-shirt,,,,,,,,,brown,,,xxl,,,,,"",0.0,shopify,5,deny,manual,23000,3400,true,true,"",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
lee-t-shirt,,,,,,,,,brown,,,xl,,,,,"",0.0,shopify,5,deny,manual,23000,3400,true,true,"",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
lee-t-shirt,,,,,,,,,navy,,,l,,,,,"",0.0,shopify,5,deny,manual,23000,3400,true,true,"",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
lee-t-shirt,,,,,,,,,navy,,,m,,,,,"",0.0,shopify,5,deny,manual,23000,3400,true,true,"",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
lee-t-shirt,,,,,,,,,navy,,,xxl,,,,,"",0.0,shopify,5,deny,manual,23000,3400,true,true,"",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
lee-t-shirt,,,,,,,,,navy,,,xl,,,,,"",0.0,shopify,5,deny,manual,23000,3400,true,true,"",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
lee-t-shirt,,,,,,,,,red,,,l,,,,,"",0.0,shopify,5,deny,manual,23000,3400,true,true,"",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
lee-t-shirt,,,,,,,,,red,,,m,,,,,"",0.0,shopify,5,deny,manual,23000,3400,true,true,"",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
lee-t-shirt,,,,,,,,,red,,,xxl,,,,,"",0.0,shopify,5,deny,manual,23000,3400,true,true,"",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
lee-t-shirt,,,,,,,,,red,,,xl,,,,,"",0.0,shopify,5,deny,manual,23000,3400,true,true,"",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
lee-t-shirt,,,,,,,,,green,,,l,,,,,"",0.0,shopify,5,deny,manual,23000,3400,true,true,"",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
lee-t-shirt,,,,,,,,,green,,,m,,,,,"",0.0,shopify,5,deny,manual,23000,3400,true,true,"",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
lee-t-shirt,,,,,,,,,green,,,xxl,,,,,"",0.0,shopify,5,deny,manual,23000,3400,true,true,"",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
lee-t-shirt,,,,,,,,,green,,,xl,,,,,"",0.0,shopify,5,deny,manual,23000,3400,true,true,"",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
tommy-t-shirt,Tommy T-shirt,<p></p>,spplyplus,Apparel & Accessories > Clothing > Clothing Tops > T-Shirts,"","",true,Color,red,,Size,l,,,,,"",0.0,shopify,5,deny,manual,23000,,true,true,"",https://cdn.shopify.com/s/files/1/0748/5076/2982/files/4E2BE85A-0216-4F78-91FA-D9F342E8F1B2.jpg?v=1746553258,1,"",false,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
tommy-t-shirt,,,,,,,,,red,,,m,,,,,"",0.0,shopify,5,deny,manual,23000,,true,true,"",https://cdn.shopify.com/s/files/1/0748/5076/2982/files/55E48DB8-984B-4877-8860-1C56FADC3B3B.jpg?v=1746553258,2,"",,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
tommy-t-shirt,,,,,,,,,red,,,xxl,,,,,"",0.0,shopify,5,deny,manual,23000,,true,true,"",https://cdn.shopify.com/s/files/1/0748/5076/2982/files/81D731DA-A17C-4EBE-904C-2E2565FE16E1.jpg?v=1746553258,3,"",,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
